Name;Platform;Year_of_Release;Publisher;Global_Sales;Critic_Score;Critic_Count
Wii Sports;Wii;2006;Nintendo;82.53;76;51
Mario Kart Wii;Wii;2008;Nintendo;35.52;82;73
Wii Sports Resort;Wii;2009;Nintendo;32.77;80;73
New Super Mario Bros.;DS;2006;Nintendo;29.8;89;65
Wii Play;Wii;2006;Nintendo;28.92;58;41
New Super Mario Bros. Wii;Wii;2009;Nintendo;28.32;87;80
Mario Kart DS;DS;2005;Nintendo;23.21;91;64
Wii Fit;Wii;2007;Nintendo;22.7;80;63
Kinect Adventures!;X360;2010;Microsoft Game Studios;21.81;61;45
Wii Fit Plus;Wii;2009;Nintendo;21.79;80;33
Grand Theft Auto V;PS3;2013;Take-Two Interactive;21.04;97;50
Grand Theft Auto: San Andreas;PS2;2004;Take-Two Interactive;20.81;95;80
Brain Age: Train Your Brain in Minutes a Day;DS;2005;Nintendo;20.15;77;58
Grand Theft Auto V;X360;2013;Take-Two Interactive;16.27;97;58
Grand Theft Auto: Vice City;PS2;2002;Take-Two Interactive;16.15;95;62
Brain Age 2: More Training in Minutes a Day;DS;2005;Nintendo;15.29;77;37
Gran Turismo 3: A-Spec;PS2;2001;Sony Computer Entertainment;14.98;95;54
Call of Duty: Modern Warfare 3;X360;2011;Activision;14.73;88;81
Call of Duty: Black Ops;X360;2010;Activision;14.61;87;89
Call of Duty: Black Ops II;PS3;2012;Activision;13.79;83;21
Call of Duty: Black Ops II;X360;2012;Activision;13.67;83;73
Call of Duty: Modern Warfare 2;X360;2009;Activision;13.47;94;100
Call of Duty: Modern Warfare 3;PS3;2011;Activision;13.32;88;39
Grand Theft Auto III;PS2;2001;Take-Two Interactive;13.1;97;56
Super Smash Bros. Brawl;Wii;2008;Nintendo;12.84;93;81
Mario Kart 7;3DS;2011;Nintendo;12.66;85;73
Call of Duty: Black Ops;PS3;2010;Activision;12.63;88;58
Grand Theft Auto V;PS4;2014;Take-Two Interactive;12.61;97;66
Animal Crossing: Wild World;DS;2005;Nintendo;12.13;86;57
